"asin","title","imgUrl","stars","reviews","price","category_id"
"B0BJTTC5YQ","Oun Nana 144 PCS Playdough Tools Set for Kids, Playdough Accessories Various Shape Molds, Animal, Dinosaur, Stamps, Letters, Numbers, Extruder, Scissors, Cutters, Rollers, Dough Mat with Storage Bag","https://m.media-amazon.com/images/I/81e83Zv1ldL._AC_UL320_.jpg","4.9","18","39.99","219"
"B0C9L3TWG4","Monster Truck Party Favors Serve 12 including Drinking Straws, Mini Pull Cars, Keychains, Gift Bags, DIY Stickers, Temporary Tattoos, Monster Truck Party Supplies for Kids, Boys, Birthday, School Pirze","https://m.media-amazon.com/images/I/81yKWX2uekL._AC_UL320_.jpg","4.4","21","19.99","219"
"B0BL12L7SZ","Wedding Stickers - Cute Stickers,50 Pcs Cartoon Kawaii Decals for Girls,Happy Birthday Party Supplies,Waterproof Vinyl Stickers,Decorations for Phone Guitar Laptop Water Botter,Gift to Family Friends (Wedding sticker)","https://m.media-amazon.com/images/I/81Z-hhxgf6L._AC_UL320_.jpg","4.5","40","6.99","219"
"B08NKB3W5W","JoJo Siwa Painting Craft Kit for Girls, Paint Your Own Bow Figurines Arts & Crafts Plaster Activity Set for Kids Include Paint, Paintbrush & Glitter for Decorating","https://m.media-amazon.com/images/I/91o-VuVpiwL._AC_UL320_.jpg","4.4","357","15.95","219"
"B01C688X70","Nightmare Before Christmas Temporary Tattoos and Stickers Party Supplies Pack","https://m.media-amazon.com/images/I/71ZyuATjbXL._AC_UL320_.jpg","4.4","35","7.95","219"
"B08JF6DX8N","Halloween Magic Scratch Crafts for Kids and Adults - DIY Halloween Decorations - Haunted House Arts and Crafts Ornaments - Includes 24 Haunted House Ornaments, 24 Scratch Sticks, 24 Satin Cord Ribbons","https://m.media-amazon.com/images/I/71PCyViOxsL._AC_UL320_.jpg","4.6","156","5.99","219"
"B0875Z9QNV","Made By Me Mixy Squish Rainbow Mega Pack by Horizon Group USA, Includes 12 oz. of Pre-Made Air Dry Clay, Sensory Play, 12 Colors, 5 Different Crunchy, Bumpy, Soft Textures, Dries Squishy & Smooth","https://m.media-amazon.com/images/I/81euBUev4MS._AC_UL320_.jpg","4.3","198","11.99","219"
"B01N240CLA","Play-Doh Star Wars BB-8 and R2-D2 (Amazon Exclusive)","https://m.media-amazon.com/images/I/81J300h2ahL._AC_UL320_.jpg","4.7","1395","27.99","219"
"B0BGD8N11Z","DaoChuang 100 Cute Water Bottle Animal Stickers Kids Love. Aesthetic Small Stickers for Computer, Laptop, Guitar, Skateboards for Kids Teen Girls.Waterproof Vinyl Various Stickers, Sticker Packs","https://m.media-amazon.com/images/I/81N81M8vF-L._AC_UL320_.jpg","4.5","5","7.99","219"
"B084L4YQHB","TINYMILLS 24 Pcs Narwhal Multi Point Pencils Stackable Stacking Push Pencils Assortment with Eraser for Girl Birthday Party Favor Goodie Bag Stuffers Carnival Prizes Classroom Rewards","https://m.media-amazon.com/images/I/71FXSYEsHoL._AC_UL320_.jpg","4.6","130","12.99","219"
"B00W4A094Q","Shark Photo Realistic ROLL Sticker - Stationery - 1 Piece","https://m.media-amazon.com/images/I/718sHmm-LrL._AC_UL320_.jpg","4.6","432","5.27","219"
"B0C3CWPNX8","145 Pcs Cute Temporary Tattoos for Kids, 8 Sheets Birthday Party Supplies Cartoon Party Decorations Fake Tattoos Stickers Party Favors for Kids Boys Girls Party Gifts Rewards Stickers Party Decor","https://m.media-amazon.com/images/I/61JzJM+7ZJL._AC_UL320_.jpg","4.3","5","7.99","219"
"B00DCH4WAM","Harrisville Designs Friendly Loom Potholder Cotton Loops 10 Inch Pro Size Loops Make 2 Potholders, Weaving Crafts for Kids and Adults-Peacock","https://m.media-amazon.com/images/I/81oRD0K4cAL._AC_UL320_.jpg","4.4","39","16.99","219"
"B0BL5MS9RB","Aqua Gelz™ 3D Magic Gel | Create Unique Crafts Soft Figures | Craft Kit | Unique Arts & Crafts for Kids | Squishy Maker Machine | Water Toys | Kid Toys Girls Boys| Make Your Own (GLOWZ Park Playset)","https://m.media-amazon.com/images/I/81knvXQyFUL._AC_UL320_.jpg","3.7","44","29.99","219"
"B0C36ZYXT8","GSSHBR Sidewalk Chalk With Holder for kids, 12Pack Non-toxic Dust-free Washable Chalks Pastel Drawing Writing for Outdoor Art Play,Blackboard,Toys Gift","https://m.media-amazon.com/images/I/61QLTDOKKJL._AC_UL320_.jpg","3.6","17","7.76","219"
"B0BBQ7254C","Large Stickers (24 pcs 2.5""x3.5"") Vintage Vampires Thriller Movies Posters Halloween Dracula","https://m.media-amazon.com/images/I/814Z+ZZLABL._AC_UL320_.jpg","4.8","9","9.95","219"
"B014VGJZ7W","Silly Germ Stickers - Prizes and Giveaways - 100 per Pack","https://m.media-amazon.com/images/I/71kmmPF69AL._AC_UL320_.jpg","4.6","171","11.99","219"
"B005EYY274","Foam Silly Monsters Magnet Craft Kit - Crafts for Kids and Fun Home Activities","https://m.media-amazon.com/images/I/71eiDSq+muL._AC_UL320_.jpg","4.3","185","9.99","219"
"B075FB3ZL9","Mimtom Drawing Stencil Kit for Kids, 58 PC Art Set with 370+ Shapes, Sketch Pad, and Colored Pencils for DIY Arts and Crafts for Boys and Girls, Draw with Letter, Animal and Car Stencils, Pink","https://m.media-amazon.com/images/I/81ovuvJhgZS._AC_UL320_.jpg","4.7","466","26.98","219"
