"asin","title","imgUrl","stars","reviews","price","category_id"
"B00S9WSW56","Paraffin-Free Tea Light Candles, Made from Vegan Palm Wax, Clean-Burning and All-Natural Tealight Candles, 4-Hour Burn Time (24 Unscented Tea Lights)","https://m.media-amazon.com/images/I/61uMB40C09L._AC_UL320_.jpg","4.6","384","10.8","165"
"B09NZV6FRS","Poo~Pourri Before-You-Go Toilet Spray, Black Pepper Leather, Black Pepper + Leather + Oak Moss scent, 2 Fl Oz","https://m.media-amazon.com/images/I/61Dfggvbw6L._AC_UL320_.jpg","4.5","126","9.99","165"
"B0C1WPL1YN","ElusiaKa Wax Melt Warmer with Timer | 3-in-1 Electric Candle Wax Warmer | Ceramic Wax Burner Fragrance Warmers | Cute Wax Melter for Scented Auto Shut Off & Adjust Fragrance Intensity","https://m.media-amazon.com/images/I/51UQp3VchML._AC_UL320_.jpg","4.4","82","15.99","165"
"B08KZMRCFH","STAR MOON Candle Warmer Wax Melt Warmer Wax Warmer for Scented Wax Night Light Plug in with One More Bulb Home Fragrance Home Decor Wall Decor Bas-Relief Craft (Ivy)","https://m.media-amazon.com/images/I/61Z8JKduwPL._AC_UL320_.jpg","4.3","2579","13.32","165"
"B01DZK05OW","School Supplies 1000pc Mixed Color Rose Petals Purple,Lavender,White Wedding Table Flower Decoration","https://m.media-amazon.com/images/I/518R1xTO5bL._AC_UL320_.jpg","4.4","1844","6.99","165"
"B07S5ZQW68","Litake LED Cat Night Light, Battery Powered Silicone Cute Cat Nursery Lights with Warm White and 7-Color Breathing Modes for Kids Baby Children (Mini Celebrity Cat)","https://m.media-amazon.com/images/I/51WNOk1W5HL._AC_UL320_.jpg","4.6","2714","12.99","165"
"B09YTTF1JV","Booda Brand Over The Door Hooks 14”, 4 Pack Upgraded Widen Hanger Hook Fits 1-3/4” & 1-3/8”Door Widths, Z-Shaped Wreath Sturdy for Hanging Wreaths, Hats, and Clothes (Black)","https://m.media-amazon.com/images/I/61NCca4YROL._AC_UL320_.jpg","4.5","417","9.99","165"
"B0BC6SLB33","1st Deer Reed Diffuser Sticks – 100 pcs of Natural Rattan Essential Oil Aroma Refill Wood Sticks for Spa, Fragrance, Aromatherapy (24 cm x 3 mm)","https://m.media-amazon.com/images/I/81i1ld+-uqL._AC_UL320_.jpg","4.3","879","5.19","165"
"B0B5QCYV4N","HARRITPURE Irregular Wall Mirror 24""x32"" Black Asymmetrical Bathroom Mirror Wood Framed Modern Decorative Vanity Mirrors for Bedroom Living Room Entryway","https://m.media-amazon.com/images/I/81BD9Md5kFL._AC_UL320_.jpg","4.6","208","64.99","165"
"B09HT1FZYY","Mecatny Boho Throw Pillow Covers Black and Cream White Pillow Covers 18X18 Set of 2 Farmhouse Decorative Pillow Covers for Couch Sofa Living Room","https://m.media-amazon.com/images/I/81714CcsnxL._AC_UL320_.jpg","4.7","1156","29.99","165"
"B0C23PP4ZZ","YEAHOME Fall Decorations for Home, Set of 3 Glass Pumpkin with LED Lights Fall Decor, Timer Lighted Pumpkin Halloween Decorations with Jack-O-Lantern Face Stickers for Indoor Mantel Table Decorating","https://m.media-amazon.com/images/I/81uT-riMpjL._AC_UL320_.jpg","4.2","23","36.99","165"
"B08FT5JHHT","Glow in the Dark Stars for Ceiling,915 Pcs Unicorn Wall Decals Stickers Unicorn Wall Decor for Girls Bedroom Luminous Glow Unicorn Stars Planet Ceiling Stickers for Baby Boys Kids Birthday Gift Playroom Living Room Nursery Wall Decor","https://m.media-amazon.com/images/I/91pk42zDBLL._AC_UL320_.jpg","4.2","771","13.99","165"
"B07X59Q8DD","GSM Brands Cremation Urn for Adult Human Ashes - Large Handcrafted Funeral Memorial with Striking Blue Design (Aluminum - 10 Inch Height x 7 Inch Width)","https://m.media-amazon.com/images/I/91usHah8HmL._AC_UL320_.jpg","4.8","2673","44.99","165"
"B092HPF7DK","QUELIEN Sunflower Gifts for Women,Birthday Gifts for her,Sunflowers Artificial Flowers in Glass Dome,Unique Gifts for Xmas,Valentine Day,Wedding,Mothers Day,Anniversary (Yellow)","https://m.media-amazon.com/images/I/718Hy1S9RfS._AC_UL320_.jpg","4.6","3704","29.99","165"
"B0BXH9ZRZL","Thank You Gift for Women, Coworker, Friends, Teacher, Retirement Gifts for Coworker, Women, Desk Table Shelf Sign Decor, Inspirational Office Gift for Colleague Leaving Job","https://m.media-amazon.com/images/I/61e3QldincL._AC_UL320_.jpg","4.6","58","11.69","165"
"B01FIJEZ7Q","Lawrence Frames Rope Design Metal Frame, 5x7, Gold","https://m.media-amazon.com/images/I/71dktOex3OL._AC_UL320_.jpg","4.8","176","14.38","165"
"B09K6G55HZ","And I Think To Myself Sign - Positive Motivational Encouragement Gifts for Women Teens - Inspirational Quote Wall Art - Mermaid Wall Decor (100)","https://m.media-amazon.com/images/I/61h-JOAef9L._AC_UL320_.jpg","4.7","146","9.99","165"
"B0BVZFB3TN","Candle Snuffer Stainless Steel Candle Extinguisher Wick Flame Snuffer Candle Accessory Gift for Candle Lovers Candle Care Tool with Long Handle for Putting Out Candles Wicks Flame Safely (Black)","https://m.media-amazon.com/images/I/41wrHd5NAQL._AC_UL320_.jpg","4.8","53","6.75","165"
"B0B9ZT7KJY","Hewego Clear Glass Vase with Elegant Purse Design,Glass Purse Vase with Handle and Bubbles Within Flower Vase,Glass Bag Vase,Clear Purse Vase for Flowers/Home Décor (1 Clear Vase)","https://m.media-amazon.com/images/I/71JLSNYiWoL._AC_UL320_.jpg","4.7","290","27.99","165"
"B0C7N78DJG","7ft (82'') Skinny Olive Tree Artificial Plants Indoor for Home Corner, Faux Olive Tree for Modern Home Office Living Room Floor Decor Indoor","https://m.media-amazon.com/images/I/610Jsg2ihHL._AC_UL320_.jpg","4.5","229","57.59","165"
"B099658LPL","16 Pack 5ft Long Artificial Orange Marigold Flower Garland with 1 Pack Butterfly for Wedding Party Mantle Decoration Christmas Decor Faux Wedding Garland Indian Diwali Decoration Spring Bush Floral","https://m.media-amazon.com/images/I/81GHRozQjkL._AC_UL320_.jpg","4.4","31","22.99","165"
"B0C7MYKW1Z","SZELAM Digital Alarm Clock,7.4"" LED Mirror Clock with USB C Charging Port,10 Modes RGB Night Light,11 Colors Display,Auto Dimming,Modern Desk Clock for Teens Bedroom Decor - White","https://m.media-amazon.com/images/I/61oxMLgjHTL._AC_UL320_.jpg","4.6","38","24.95","165"
"B0BV2HG3W6","Giverny 8x24 Picture Frames Black 1 Pack, Wood 8x24 Panoramic Picture Frame, Showing 8x24 pictures for Wall Mounting, Simple and Classic Style Suitable for Decorating Houses, Offices, Hotels","https://m.media-amazon.com/images/I/711mbivSYpL._AC_UL320_.jpg","4.3","248","23.99","165"
"B07VRHH5SY","Afloral Real Touch Norfolk Pine Wreath - 24""","https://m.media-amazon.com/images/I/81TTxVlEBjL._AC_UL320_.jpg","4.9","31","67.0","165"
