"asin","title","imgUrl","stars","reviews","price","category_id"
"B00HVUYKN0","Fellowes Laminator Venus 2 125, Rapid 30-60 Second Warm-up Laminating Machine, with Laminating Pouches Kit (5734801), Black, Silver, 5.1"" x 21.3"" x 8.2""","https://m.media-amazon.com/images/I/71Hq7FiZ2TL._AC_UL320_.jpg","4.3","689","289.92","72"
"B09S9W77L6","Uinkit Legal Thermal Laminating Pouches 9x14.5inches 4mil Legal Size 100Pack Clear Glossy Lamination Sheets Laminator Pockets (9x14.5x100-4mil)","https://m.media-amazon.com/images/I/61VvS6RVVqL._AC_UL320_.jpg","4.6","89","24.99","72"
"B09X2YY4SZ","Paper Shredder for Home Office,VidaTeco 14-Sheet 60-Mins Micro Cut Shredder with US Patented Blade,Shred Card/CD/Clip/Staple,Shredder for Home Use Heavy Duty,AUTO Jam Proof,5.3-Gallon Pullout Bin(ETL)","https://m.media-amazon.com/images/I/71OqoYWnguL._AC_UL320_.jpg","4.5","192","149.99","72"
"B0BLD49DFT","NEEGO HP Tango X All-in-One Smart Wireless Printer, Mobile Remote Print, Scan, Copy, Cable, HP Instant Ink","https://m.media-amazon.com/images/I/61BwyrjT2IL._AC_UL320_.jpg","4.3","54","219.99","72"
"B0BHP7265G","CLI-281XXL Compatible Ink Cartridge Replacement for Canon 281 Ink Cartridges Combo Pack High Yield Use to TR7520 TR8520 TR8500 TR8600 TR8620 TS6120 TS6220 TS8120 TS8220 TS9120 Printer (3 Pack)","https://m.media-amazon.com/images/I/61x8f8mH+0L._AC_UL320_.jpg","4.4","1386","29.99","72"
"B000ZJ1N3Y","Victor C6000 Advanced Construction Calculator with Protective Case Displays in Fractional or Dimensional Forms Perfect for Carpenters, Renovators,Builders, Contractors, Estimators","https://m.media-amazon.com/images/I/71EE8e3QfYL._AC_UL320_.jpg","4.6","714","44.28","72"
"B086LFF75J","Canon PGi-225 and Cli-226 Compatible Ink Cartridge Value Pack. Includes 1 PGi-225 Black, 1 Cli-226 Black, 1 Cyan, 1 Magenta, and 1 Yellow Ink Cartridges","https://m.media-amazon.com/images/I/4162Agy8OLL._AC_UL320_.jpg","4.3","437","37.95","72"
"B08C9P7Z47","FASTINK 952XL Ink Cartridges,with Updated Chip Replacement for HP 952XL Ink Cartridges Combo Pack Works with HP OfficeJet Pro 8710 7740 8210 8715 8720 8702 8725 Printers Ink Cartridges,4 Pack","https://m.media-amazon.com/images/I/71uqmbQwRkL._AC_UL320_.jpg","4.0","532","44.89","72"
"B07S21QSX7","NADAMOO 2D Wireless Barcode Scanner Compatible with Bluetooth, Portable USB 1D 2D QR Code Scanner for Inventory, Bar Code Image Reader for Tablet iPhone iPad Android iOS PC POS, with Charging Dock","https://m.media-amazon.com/images/I/612M7PgNXNL._AC_UL320_.jpg","4.3","277","64.99","72"
"B08MQ5Y7WF","FANGOR 5G WiFi Bluetooth Projector 1080P Native, 16000L 450ANSI Outdoor Projectors [Projector Screen Included],300"" Display 4K Support Home Movie Proyector Compatible w/ iOS/ Android/XBox/PS4/TV Stick","https://m.media-amazon.com/images/I/91YpLgCthzL._AC_UL320_.jpg","4.2","896","229.98","72"
"B0BJ78ZL4K","WEWATCH Projector, Native 1080P Bluetooth Projector with 12"" Tripod Stand, 13500L Portable Outdoor Mini Projector, Movie Projector Compatible with TV Stick,Smartphone,Laptop,PS5,HDMI,USB,AV,VGA","https://m.media-amazon.com/images/I/61cZz0IngvL._AC_UL320_.jpg","4.1","1115","69.99","72"
"B00004TS5X","Scotch Self-Sealing Laminating Pouches, 25 Pack, Business Card size (LS851G)","https://m.media-amazon.com/images/I/7169lYGZEdL._AC_UL320_.jpg","4.7","1967","12.24","72"
"B0BR3WPF2B","PHILIPS Android TV Projector with Apps and 5G WiFi Bluetooth - Smart Projector Built-in Netflix, YouTube, Outdoor Movie Projector 4D 4P Keystone, Zoom, Compatible w/ iOS/Android/Xbox/PS4/TV Stick/HDMI","https://m.media-amazon.com/images/I/71xhM3Hzq9L._AC_UL320_.jpg","4.9","21","179.97","72"
"B0032FMSWS","Smart Caregiver Two Call Buttons & Wireless Caregiver Pager","https://m.media-amazon.com/images/I/61166vULZyL._AC_UL320_.jpg","4.5","3548","21.95","72"
"B0BZ3H35WV","61XL Ink Cartridge Remanufactured Replacement for HP 61 61XL, 1 Black, 1 Tri-Color, 2 Pack, Use for HP Envy 4500 5530 5534 5535, Officejet 2620 4630 4635 Deskjet 1000 1010 1510 1512 2540 3050 Printer","https://m.media-amazon.com/images/I/81amgk2A7qL._AC_UL320_.jpg","4.6","245","26.99","72"
"B001PKUUGI","Fellowes Powershred 125Ci 100% Jam Proof 20 -Sheet Cross-Cut Commercial Grade Paper Shredder","https://m.media-amazon.com/images/I/812rZCV+cXL._AC_UL320_.jpg","4.6","388","599.99","72"
"B0BVH7WJMB","Woolsche Laminator, Quick Warm-Up, Fast Laminating, 4 in 1 Laminator Machine, Laminating of A4/A5/A6 for Home Office School Use","https://m.media-amazon.com/images/I/714KUrfLpBL._AC_UL320_.jpg","4.9","56","28.99","72"
"B0C9T3VN5L","Language Translator Device, Portable Translator Device with 138 Languages & 4.1"" Touch Screen, Smart Voice Photo Translator Real Time, Offline Online Translation for Business Learning Travel (Black)","https://m.media-amazon.com/images/I/61ozqbGKu7L._AC_UL320_.jpg","4.8","399","139.99","72"
"B07D5V9JT3","Immuson Thermal Laminating Pouches 8.9 x 11.4, 5 Mil Thickness, Crystal Clear Finish, 100 Pack","https://m.media-amazon.com/images/I/41ZEg2S+wnL._AC_UL320_.jpg","4.8","667","21.99","72"
"B07QV8P651","GPC Image Remanufactured Toner Cartridge Replacement for Canon 131 131H to use with ImageClass MF8280Cw MF624Cw MF628Cw LBP7110Cw Printer Tray (Black, Cyan, Magenta, Yellow, 4 Pack)","https://m.media-amazon.com/images/I/81vvW7liTCL._AC_UL320_.jpg","4.4","776","57.99","72"
"B081TZ1374","GREENBOX Remanufactured Ink Cartridge for HP 901 901XL for HP Officejet 4500 J4500 J4524 J4540 J4550 J4580 J4624 J4640 J4660 J4680 J4680C Printer (1 Black 1 Tri-Color)","https://m.media-amazon.com/images/I/71TcWRHrSdL._AC_UL320_.jpg","4.2","705","37.99","72"
"B0727XX94K","Casio Touchscreen with Stylus Graphing Calculator, 4.8 (fx-CG500)","https://m.media-amazon.com/images/I/71kgvdLTSHL._AC_UL320_.jpg","4.5","340","129.99","72"
