"asin","title","imgUrl","stars","reviews","price","category_id"
"B019D1G69U","Americanflat 11x14 Picture Frame in Black - Use as 5x7 Frame with Mat or 11x14 Frame Without Mat - Engineered Wood with Shatter Resistant Glass, and Includes Hanging Hardware for Wall","https://m.media-amazon.com/images/I/71U6LgZcUYL._AC_UL320_.jpg","4.7","1619","11.99","165"
"B0BR3S4CNG","100% Blackout Shield Linen Blackout Curtains for Bedroom 96 Inches Long,Back Tab/Rod Pocket Living Room Drapes,Thermal Insulated Textured Blackout Curtains 2 Panels Set,50"" W x 96"" L,Cream","https://m.media-amazon.com/images/I/71pKStWh9WL._AC_UL320_.jpg","4.6","280","46.99","165"
"B075824NXZ","Shabbat Candles - Traditional Shabbos Candles - 3 Hour - 72 Count, 2 Pack (144 Count) - by Ohr","https://m.media-amazon.com/images/I/81siLoKTl1L._AC_UL320_.jpg","4.6","1965","22.19","165"
"B019O4SB58","CandleNScent Unscented Tealight Candles, 30 Pack, White","https://m.media-amazon.com/images/I/61YwwmKqw7L._AC_UL320_.jpg","4.5","10877","7.99","165"
"B00KRT4M4E","DALIX White Vertical Replacement Blinds Slats Sliding Glass Door Window (6 Pack)","https://m.media-amazon.com/images/I/61Xa4ojakJL._AC_UL320_.jpg","4.6","2798","24.99","165"
"B07583TVRM","Cast Iron Cauldron w/Handle, Ideal for smudging, Incense Burning, Ritual Purpose, Decoration, Candle Holder, etc. (5"" Diameter Handle to Handle, 3"" Inside Diameter)","https://m.media-amazon.com/images/I/31YGme9PyDL._AC_UL320_.jpg","4.7","7991","9.99","165"
"B08CT3JFDH","Yancorp Curtains for Girls Bedroom Kids Room Curtain Colorful Window Nursery Curtain 63 inches Length Room Darkening Grommet 2 Layers (Pink Purple, W52 X L63)","https://m.media-amazon.com/images/I/711SQ4mgM9L._AC_UL320_.jpg","4.5","10680","23.99","165"
"B09V1558JY","XUANLUO 5x7 Picture Frames Set of 4 Rustic Retro Photo Frame with Tempered Glass Wall Mount and Tabletop Display Family Friends Wedding Gift","https://m.media-amazon.com/images/I/81EfcfrI3zL._AC_UL320_.jpg","4.7","799","24.99","165"
"B07B2LH9CG","Ivilon Drapery Eyelet Curtain Rings - 1.7"" Ring Loop for Hook Pins, Set of 14 - Black","https://m.media-amazon.com/images/I/51mxLomrcjL._AC_UL320_.jpg","4.6","1759","7.83","165"
"B07XJYY2J9","20 Pack Clear Plastic Fillable Ornament Ball 3.15''/80mm for Christmas,Holiday, Wedding,Party,Home Decor","https://m.media-amazon.com/images/I/611iB6b7cyL._AC_UL320_.jpg","4.7","952","16.99","165"
"B074NB876R","Impresa Clear Vertical Blind Repair Tabs - 20 Clear, Stick-On Tabs (10 Sets) with 2 Alcohol Wipes - Great for Sliding Door, Window, Patio Blinds - Simple Blind Fixing Solution","https://m.media-amazon.com/images/I/61C3UiPKO2L._AC_UL320_.jpg","4.6","14971","9.99","165"
"B099Z6T8FK","Porlau 2 Pack Strong Magnetic Curtain Tiebacks Outdoor Elegant Decorative Tie Backs Modern Rope Tiebacks for Drapes Window Curtain Holdbacks for Draperies- Grey","https://m.media-amazon.com/images/I/71IMP9y-VSL._AC_UL320_.jpg","4.4","3462","7.09","165"
"B0C6M1H3XQ","XIMISHOP 8pcs Posable Halloween Hanging Skeleton Decoration, 16” Full Body Halloween Skeleton Decoration with Movable Joints for Halloween Graveyard Haunted House Decore Indoor Outdoor","https://m.media-amazon.com/images/I/71gEWA67esL._AC_UL320_.jpg","4.5","44","26.99","165"
"B08PP21RMS","Miowachi Digital Alarm Clock,Large Mirrored LED Clock,Snooze,Dim Night Light 2 USB Charger Ports Desk Alarm Clocks for Bedroom Decor (White)","https://m.media-amazon.com/images/I/61XmayYMG3L._AC_UL320_.jpg","4.2","6544","19.98","165"
"B08HZ3BPRB","Wrought Iron Crystal Wax Melt Warmer Electric Oil Burner Wax Melt For Home, Kitchen, Living Room, Bedroom, SPA(Silver)","https://m.media-amazon.com/images/I/81on6LE05mL._AC_UL320_.jpg","4.8","4644","19.99","165"
"B08ZLWNBCL","Artificial Fake Flowers, 6 Bundles Daisy Mums Flowers Outdoor UV Resistant No Fade Greenery Shrubs Plants Indoor Outside Hanging Planter Home Wedding Office DIY Garden Porch Décor (Orange Yellow)","https://m.media-amazon.com/images/I/71bIrnJq9aS._AC_UL320_.jpg","4.2","783","16.99","165"
"B0B49PS663","Vixdonos Taper Glass Candlestick Holders Tealight Candle Holders for Table Centerpieces, Wedding Decor and Dinner Party (3 Pcs, Amber)","https://m.media-amazon.com/images/I/81ejMC3YcYL._AC_UL320_.jpg","4.7","526","9.99","165"
"B07YB9SDR6","LIFVER Funny Coasters for Drinks with Holder, Set of 8 Marble Style Absorbent Drink Coasters with Cork Base, House Warming Gifts New Home, Perfect for Home Decor, Bar Coaster with 4 Sayings, 4 inch","https://m.media-amazon.com/images/I/81djnkCGToL._AC_UL320_.jpg","4.8","7097","16.99","165"
"B07PQJ9VRR","VISEMAN 36 Inch Under Door Draft Stopper-Twin Door Draft Blocker Guard,Double Sided,Machine-Washable","https://m.media-amazon.com/images/I/61KNjueTkEL._AC_UL320_.jpg","4.1","18102","10.39","165"
"B0B82479L4","30 Pcs Double-Sided Printing Hocus Pocus Ornaments Halloween Wooden Ornaments Set Bily Spell Book Black Cat I Put A Spell on You, Hocus Pocus Decor with Rope","https://m.media-amazon.com/images/I/814RHVvO3cL._AC_UL320_.jpg","4.6","169","12.99","165"
"B07KGN1SXF","SODUKU Floating Shelves Wall Mounted Storage Shelves for Kitchen, Bathroom,Set of 2 Brown","https://m.media-amazon.com/images/I/71EVgjOXBIL._AC_UL320_.jpg","4.7","26222","19.99","165"
"B0C3H9SV84","Lovinland Happy Birthday Gnome, Unique Birthday Gifts for Women Mom Mother Wife Grandma Best Friend Daughter Her Girl Sister, Fun Best Happy Birthday Gift Ideas Birthday Party Decorations","https://m.media-amazon.com/images/I/71YGBoaEDUL._AC_UL320_.jpg","4.9","31","19.99","165"
"B08VCF6QZ1","NEST New York Wild Mint & Eucalyptus Reed Diffuser","https://m.media-amazon.com/images/I/71WQ8NQLqgL._AC_UL320_.jpg","4.3","688","60.0","165"
"B0C3QZKRJ5","HODIK Atomic Clock with Indoor Outdoor Temperature Wireless, Large 7.5 Inch LCD with 10s Backlight, Self-Setting Battery Powered with High Precision Sensor","https://m.media-amazon.com/images/I/61-zv+MarIL._AC_UL320_.jpg","4.3","798","26.99","165"
"B07VWW1ZT5","84 Pieces Acrylic Leaves Mini Acrylic Pumpkin Maple Leaves Acorns Crystals Gems for Thanksgiving Home Table Scatters Decoration Autumn Table Scatters Favor Vase Filler(5 Colors)","https://m.media-amazon.com/images/I/718RgGVEcoL._AC_UL320_.jpg","4.6","420","9.99","165"
"B0BGDGKB5D","KOSUMOSU 3D LED Digital Wall Clock ,9.7"", Large Display Table/ Desk Clock with Remote Control 12/24H Temperature (White Light)","https://m.media-amazon.com/images/I/61VDTN4MzkL._AC_UL320_.jpg","4.2","414","17.9","165"
"B095NP16XP","Coasters for Drinks,AODINI Set of 8 Absorbent Stone Coasters for Wooden Table, Mandala Ceramic Coasters with Cork Base, Gift for Housewarming Birthday and Family - Great Home and Dining Room Decor","https://m.media-amazon.com/images/I/91k716-yYdL._AC_UL320_.jpg","4.7","2744","13.99","165"
"B094YLSCM7","SPAAS Straight Candle Sticks - Pack of 8 6"" Long Black Candles | 5 Hour Long Burning Unscented Candles for Emergency Candles, Chime Candles, Table Candles for Wedding, and Home Decoration (Black)","https://m.media-amazon.com/images/I/81OOGSd5pdL._AC_UL320_.jpg","4.4","804","13.99","165"
"B08K2YFSSM","12 Pack 86 FT Artificial Ivy Garland, Fake Ivy Leaf Plants Vine Greenery Garland Home Kitchen Balcony Garden Office Wedding Wall Decor","https://m.media-amazon.com/images/I/912TqJBq+eL._AC_UL320_.jpg","4.4","2066","7.99","165"
"B07L32YBSL","miltonson Artificial Succulent Plants Fake Assorted - 16 Pack - Unpotted Face Succulent Plants - Realistic Textured Succulents Picks - Fake Plants for Decoration - Faux Aloe Cactus Plant Bulk","https://m.media-amazon.com/images/I/A1paF1At04L._AC_UL320_.jpg","4.8","1955","19.99","165"
"B08N5XF1YX","ULTICOR Velvet 8-Pieces Recliner Sofa Covers Stretch Reclining Couch Covers for 3 Cushion Reclining Sofa Slipcovers Furniture Covers Thick Soft Washable (3 Seater Recliner Cover, Dark Gray)","https://m.media-amazon.com/images/I/51Mbtzv3X6L._AC_UL320_.jpg","4.4","6862","59.99","165"
"B08VHPXJBZ","ROSE COTTAGE Large 12 Packs Lavender Hanging Closet Deodorizer Air Freshener Long Lasting Scented Sachets Smell Goods for House","https://m.media-amazon.com/images/I/7138W89vcuL._AC_UL320_.jpg","4.0","1232","18.99","165"
"B08LC575Z3","LYFJXX Fake Ice Cubes, 1000 Pcs Acrylic Vase Fillers for Centerpieces, 11 * 14 mm Crushed Diamond Ice Crystal Clear Plastic Rocks Fake Diamonds Clear Acrylic Gems for Decor Photography Prop","https://m.media-amazon.com/images/I/71u7tm0TWaL._AC_UL320_.jpg","4.6","1164","11.78","165"
"B09M8M8552","Beautysaid Rainbow Window Privacy Film: 3D Stained Glass Static Clings Decorative Heat Sun Blocking Removable Non Adhesive Vinyl Stickers Bathroom Door Coverings(Pure,17.5 x 78.7 inch)","https://m.media-amazon.com/images/I/91JNE-OZYsL._AC_UL320_.jpg","4.4","208","6.89","165"
"B07TGT4QN7","[New Upgrade] Huge Gap Door Draft Stopper, 3-2/5""W Widened Door Sweep Seal Gap Up to 1-4/5"" for Interior & Exterior Doors - Keeping Draft, Noise, Dust and Unwanted Animals Out,3-2/5""W x 39"" L,White","https://m.media-amazon.com/images/I/61j86XyhsoL._AC_UL320_.jpg","4.4","4754","12.99","165"
"B07NQB9FKL","Yoobure 10 Silent Quartz Decorative Wall Clock Non-Ticking Classic Digital Clock Battery Operated Round Easy to Read Home/Office/School Clock","https://m.media-amazon.com/images/I/619ZAMtI4EL._AC_UL320_.jpg","4.3","6398","9.99","165"
"B09TGLV9C6","ISSUNTEX Double Protection 100% Waterproof Sofa Covers for Living Room, Couch Covers for 3 Cushion Couch Sofa, Reversible Furniture Protector Sofa Cover for Dogs, Pets, Kids (Sofa, Gray/Light Gray)","https://m.media-amazon.com/images/I/71+fj6cAxXL._AC_UL320_.jpg","4.3","494","29.99","165"
"B0C58JDKZD","Yoiolclc Wall Clock Battery Operated Silent Non-Ticking Vintage Wall Clocks for Kitchen, School, Living Room (12Inch, Bronze)","https://m.media-amazon.com/images/I/717MywYodvL._AC_UL320_.jpg","4.6","55","9.99","165"
"B0BKQ3PJ6Q","PEALSN 18x24 Poster Frame Set of 2, Picture Frames for Wall Decor, Display 16 x 20 Pictures with Mat or 18 x 24 Without Mat for Wall Mounting Display, Black.","https://m.media-amazon.com/images/I/81hUUlLXOlL._AC_UL320_.jpg","4.4","129","29.99","165"
"B07PV3X5ZD","Sorbus Floating Shelves for Wall - Set of 3 Rustic Wood Wall Shelves for Living Room, Kitchen, Bedroom, Bathroom Storage - 16"" Book Shelf for Wall Decor, Home Decor, Farmhouse, Frames & Trophy Display","https://m.media-amazon.com/images/I/81SFVgfn-oL._AC_UL320_.jpg","4.6","9381","28.99","165"
