"asin","title","imgUrl","stars","reviews","price","category_id"
"B0872FZDNF","Far Out Toys Ryan’s World Road Trip Board Game, A Journey Through All 50 US States, Educational Adventure, Cities, Towns, Geography, Collectible Micro Figures & Cards, Surprise Suitcase Tiles, Ages 3+","https://m.media-amazon.com/images/I/91CChheqgeL._AC_UL320_.jpg","4.6","1577","11.51","270"
"B07L9DPK8F","Born Toys Science Kits for Kids w/ Kids Lab Coat for Ages 5-8, Includes Science Experiments for Kids, Science Toys, Kids Science Goggles, Kids Science Kits, Dress Up & Pretend Play or Kids Costume","https://m.media-amazon.com/images/I/81M+WJ0dFzL._AC_UL320_.jpg","4.7","1241","29.95","270"
"B09Q3PHR8B","Cra-Z-Art Softee Dough Pet Care Vet Mobile Playset, Modeling Dough Play Toy for Kids Ages 3 Years and Up","https://m.media-amazon.com/images/I/91t4k0wEbwL._AC_UL320_.jpg","4.2","14","14.68","270"
"B0BKH9PZV9","Teenage Mutant Ninja Turtles: Mutant Mayhem 5.5” Michelangelo Deluxe Ninja Shouts Figure by Playmates Toys","https://m.media-amazon.com/images/I/71lLNTqmzGL._AC_UL320_.jpg","4.1","15","14.99","270"
"B002S3VP1U","CP Toys 6-in-1 Kids Gardening Set, Includes Kids Leaf Blower, Kids Lawn Mower, Weed Trimmer and Chainsaw, Realistic Action and Sound Effects,, Outdoor Toy for Kids Ages 3 Years Plus","https://m.media-amazon.com/images/I/711jnwbGGiL._AC_UL320_.jpg","4.2","1080","89.99","270"
"B0BW954C1C","Slothcloud Unicorn Kids Selfie Camera,Unicorn Gifts for Girls Age 3-12,HD Kids Digital Video Cameras for Toddler,Toy for 3 4 5 6 7 Years Old Teens with 32GB SD Card,Christmas Birthday Gift for Girls","https://m.media-amazon.com/images/I/71Pt2dPDl4L._AC_UL320_.jpg","4.5","246","29.99","270"
"B09C355C5G","QUERCITRON Construction Trucks Toy Dinosaur Vehicles Magnetic Set, 5-in-1 Educational STEM Building Car Kit, Transform into Big Robot, Birthday Gift for Toddler Kid 3 4 5 6 7 Year Old Boys Girls","https://m.media-amazon.com/images/I/712XN1VdORL._AC_UL320_.jpg","4.3","100","27.99","270"
"B01B78SDP2","PixieCrush Pretend Play Makeup Set for Toddlers. Designer Girls Beauty Basics 12 Piece Polka Dot Handbag Set Ages 3, 4, 5, 6, 7, 8, 9, 10 | Comes in an Attractive Pink Polkadot Purse","https://m.media-amazon.com/images/I/71Q4h9sI87L._AC_UL320_.jpg","4.7","4975","16.99","270"
"B07TWJ2NC6","STEM Building Toys for 7-12 Years Old Boys Girls 7-in-1 Models Kids Love to Build and Play 171Pcs Construction Set with Engineering Activity Kit Educational Toys for 6 7 8 9 Fun Birthday Gift","https://m.media-amazon.com/images/I/91Ix2JMtwdL._AC_UL320_.jpg","4.5","508","29.95","270"
"B06X9P6L2M","All Things Equal, Inc. Miss Bernard is a Wild Card- The My Weird School Game, Easy to Follow Rules, Educational, 2 to 4 Players, for Ages 6 to 10,","https://m.media-amazon.com/images/I/81kbacDyW9L._AC_UL320_.jpg","4.7","722","16.81","270"
