"asin","title","imgUrl","stars","reviews","price","category_id"
"B00JNJWCCS","Audio-Visual Direct Magnetic White Glass Dry-Erase Board Set - 23 5/8 x 35 1/2 Inches -","https://m.media-amazon.com/images/I/51HGHC9PO7L._AC_UL320_.jpg","4.6","1148","72.99","72"
"B0B645V9XL","Pantum M6500NW Laser Printer All in One, Black & White Printer with Wireless Printing, Monochrome Laser Printer Print Scan Copy, Speed up to 23 ppm","https://m.media-amazon.com/images/I/61z+Bp2E21L._AC_UL320_.jpg","3.7","34","145.99","72"
"B09TSSX2QR","Language Translator Device, DOSMONO OCR Reading Pen, Dyslexia Reading Tool, 112 Languages Translator Device for Meetings Travelling Learning, Dictionary Pen, Book Reader, Exam Reading Pen","https://m.media-amazon.com/images/I/51lcFF51tZL._AC_UL320_.jpg","3.5","44","99.99","72"
"B00CUOFZ86","Canon 0894B001AA OEM Ink - (PFI-102MBK) iPF 500 600 605 610 700 710 720 750 755 Matte Black Ink Tank","https://m.media-amazon.com/images/I/61RpqfXfBGL._AC_UL320_.jpg","5.0","7","68.95","72"
"B091C5LG3D","Hanchen Restaurant Pager System Wireless Calling System Social Distancing Buzzer Max 98 Nursery Pager Set Vibration Waiting Buzzers for Food Truck Church Clinic (20 Pagers (Updated Version 2))","https://m.media-amazon.com/images/I/71e9loJda4L._AC_UL320_.jpg","4.7","6","179.99","72"
"B0B555FG14","Elonbo Carrying Case for DYMO LetraTag 200B Bluetooth Label Maker, Compact Label Printer Travel Protective Bag Storage Holder, Extra Interior Mesh Pocket Fits Label Tapes Paper Cable. Mesh Black","https://m.media-amazon.com/images/I/815GSExFrHL._AC_UL320_.jpg","4.8","26","12.99","72"
"B0006HXLM6","Fellowes Hot Laminating Pouches, ID Tag, Not Punched, 5 mil, 100 Pack (52015)","https://m.media-amazon.com/images/I/81GlaQw2GEL._AC_UL320_.jpg","4.7","153","17.64","72"
"B0051OMCPG","Canon Office Products WS-1400H Business Calculator","https://m.media-amazon.com/images/I/91VkFVIzeEL._AC_UL320_.jpg","4.7","50","28.3","72"
"B0BWJD81V2","NoahArk 7 Packs T048 T48 Remanufactured Ink Cartridge Replacement for Epson 48 for Stylus Photo R200 R220 R300 R300M R320 R340 RX500 RX600 RX620 Printer (2BK/1C/1M/1Y/1LC/1LM,7-Pack)","https://m.media-amazon.com/images/I/71acQ6TVscL._AC_UL320_.jpg","4.7","5","27.98","72"
"B08H7C1DFK","DBPOWER WiFi Mini Projector, 8500L WiFi Projector 1080P Full HD Supported & 240"" Display Video Projector, Mini Portable Projector Movie Projector Compatible w/Phone/TV Stick/Laptop/PC/PS4-Pearl White","https://m.media-amazon.com/images/I/61WjQ2HX2LL._AC_UL320_.jpg","4.5","226","99.99","72"
"B07848ZBXT","TEROW Thermal Receipt Printer, 58mm Max-Width Small USB Direct Printer with High-Speed Printing and USB Interface Support to ESC/POS/Window and Linux System Portable Printer for Cash Register","https://m.media-amazon.com/images/I/61QSq7wC0gL._AC_UL320_.jpg","3.8","429","38.99","72"
"B0BWLT77T2","ONLYU Compatible Toner Cartridge Replacement for HP 80A CF280A 80X CF280X for HP Laserjet Pro 400 M401n M401dn M401dne M401dw M401 M401a M401d MFP M425dn M425dw Printer (Black, 2-Pack, High Yield)","https://m.media-amazon.com/images/I/71Ou5PeiNAL._AC_UL320_.jpg","4.3","5150","49.99","72"
"B01NH0V2L4","FJA Products Replacement Typewriter Ribbon for The IBM WHEELWRITER and IBM EASYSTRIKE TYPEWRITERS","https://m.media-amazon.com/images/I/41mC4ZKXMKL._AC_UL320_.jpg","4.7","69","13.99","72"
"B004603JQM","Fargo Standard Monochrome Ribbon Kit for DTC1000 & DTC4000 Printers (45102)","https://m.media-amazon.com/images/I/51VdRx9LsjL._AC_UL320_.jpg","4.3","20","26.82","72"
"B0B49W39FL","JINTUM TL-410 Compatible Toner Cartridge Replacement for Pantum TL410 TL-410H TL-410X for M7102DW P3012DW M6800FDW M7100DW M7200FDW M6802FDW M7102DN M7202FDW (1 Black)","https://m.media-amazon.com/images/I/61fzwLPB3wL._AC_UL320_.jpg","4.2","572","32.99","72"
"B0894241PX","LICHAMP Desk Calculators with Big Buttons and Large Display, Office Desktop Calculator Basic 12 Digit with Solar Power and AA Battery (Included), 10 Bulk Pack","https://m.media-amazon.com/images/I/71aIVdEfZaL._AC_UL320_.jpg","4.3","50","39.99","72"
"B0BHNJTCCV","PG 240 240XL 241XL Combo Pack Remanufactured Ink Cartridge Replacement for Canon Pixma MG3620 TS5120 MG2120 MG3520 MX452 MX512 MX532 MX472 Printer (1×240XL Black, 1×241XL Color, 2 Pack)","https://m.media-amazon.com/images/I/61OEH4sVOHL._AC_UL320_.jpg","3.6","25","39.99","72"
"B009X8BWPW","Brother LC71CL Ink Cartridge (C,M,Y) 3 PACK In retail packaging","https://m.media-amazon.com/images/I/41pPfsIEzGL._AC_UL320_.jpg","3.8","14","35.61","72"
"B09C8QGJHS","Juyudow B400 B405 Toner Cartridge Compatible for Xerox Part#: 106R03584 (24,600 Pages) Replacement for Versalink B405 B405DN B400 B400N B400DN(1 Pack)","https://m.media-amazon.com/images/I/710+XncmVOL._AC_UL320_.jpg","4.0","17","57.99","72"
"B00XGYV6PA","Linortek Netbell-2 TCP/IP Network Programmable Bell Timer Controller/2 Zones Remote Web-Based Bell Scheduling for School Factory Warehouse Lunch Break Bell System POE","https://m.media-amazon.com/images/I/81FWvm1IZyL._AC_UL320_.jpg","3.8","19","438.0","72"
"B09S8DQFCC","INKCLOUD Higher Yield 63XL Ink Cartridges Compatible with HP 63 Ink 63XL Work with HP OfficeJet 3830 4650 4655 5255 5258 Envy 4520 4512 4513 4516 DeskJet 1112 3630 2132 Printer(2 Black, 1 Tri-Color)","https://m.media-amazon.com/images/I/71Om+ASGDpL._AC_UL320_.jpg","4.3","98","39.99","72"
"B0055Y9WNC","Loud Sound RJ11 Telephone Ring Ringer Amplifier","https://m.media-amazon.com/images/I/51eTNHpoRBL._AC_UL320_.jpg","4.2","1040","7.39","72"
"B0B3GRB76K","DOUBLE D Upgraded LC20E Compatible Replacement for Brother LC20E LC-20E XXL Ink Cartridges for Brother MFC-J985DW J775DW J5920DW J985DWXL Printer (2BK+2C+2M+2Y) 8 Pack-Updated Version","https://m.media-amazon.com/images/I/81f1of1603L._AC_UL320_.jpg","4.7","8","22.99","72"
