"asin","title","imgUrl","stars","reviews","price","category_id"
"B010SEARPU","Rankie USB Network Adapter, USB 3.0 to RJ45 Gigabit Ethernet Internet Adapter (Black)","https://m.media-amazon.com/images/I/616nUil4zbL._AC_UL320_.jpg","4.2","15585","11.99","69"
"B085S4LGMS","ANTAN DVB-T655VA Indoor TV Antenna 25-35 Miles Range -Support 8K 4K 1080P UHF VHF Freeview Channels with Longer 10ft Coaxial Cable, Black","https://m.media-amazon.com/images/I/31r+t65g2QS._AC_UL320_.jpg","4.1","1662","11.99","69"
"B08FBJVNHP","RCA Amplified Indoor Flat HDTV Antenna – Multi-Directional VHF and UHF Reception, 4K/8K, 1080P, 40 Mile Range – ANT1360E","https://m.media-amazon.com/images/I/61UbSE25a2L._AC_UL320_.jpg","4.0","99","24.99","69"
"B0CBWNG45W","RC802V Universal Remote Control for All TCL Smart TVs, TV Remote Replacement for All TCL Android TV (NO Voice Function)","https://m.media-amazon.com/images/I/517fkG0647L._AC_UL320_.jpg","3.9","5","8.99","69"
"B09F2ND4R6","ADSBexchange.com Blue R820T2 RTL2832U, 0.5 PPM TCXO ADS-B SDR w/Amp and 1090 Mhz Filter, Antenna & Software on Industrial MicroSD","https://m.media-amazon.com/images/I/41jRe-XHn3L._AC_UL320_.jpg","4.6","87","39.95","69"
"B075352NG3","Fosmon HDTV Antenna 25-40 Miles Range, Indoor Rabbit Ear TV Antenna, Retractable Dipoles [Wall Mountable or Tabletop] with 5FT Cable Support 4K Ready, ATSC 3.0, UHF, VHF, 1080p Free TV Channel","https://m.media-amazon.com/images/I/61VsP5QwOiL._AC_UL320_.jpg","4.1","1541","11.99","69"
"B0BBLGJSHR","OEM Replacement Backlit Display Bluetooth Remote for Vizio 5.1 Premium Sound Bar Home Theater System M512-H6, V51-H6, V51x-J6, M51a-H6, M512a-H6, 51AX-J6, P514A-H6","https://m.media-amazon.com/images/I/41jQdi220RL._AC_UL320_.jpg","4.5","47","19.99","69"
"B0BZVCVPCY","Height Adjustable UFS-20 Stand for Bose Speaker Stands wr Slideconnect Bracket, for Bose Surround Speakers, Surround 700, OmniJewel Lifestyle 650, CineMate GS Series II, for Bose OmniJewel Floor Stand","https://m.media-amazon.com/images/I/51hQLDmLVWL._AC_UL320_.jpg","4.0","9","99.99","69"
"B087G6BL7M","HDMI Extender Splitter 1x4 1080P@60Hz Over Cat 5E/6/7 Ethernet Cable 50m (165ft) Support EDID Copy POC Function (1 in 4 Out)","https://m.media-amazon.com/images/I/61jSZsfID9L._AC_UL320_.jpg","4.2","207","159.99","69"
"B086VG9WG2","RMF-TX200U Voice Replacement Remote Applicable for Sony TV XBR-65X930D XBR-75X940D XBR-65X900E XBR-75X900E XBR-65X930E XBR-75X940E XBR-43X800D XBR-49X800D XBR-65X850D XBR-75X850D XBR-55X850D","https://m.media-amazon.com/images/I/61YkmFBH8XL._AC_UL320_.jpg","4.2","299","17.97","69"
"B08SBNM8NH","BBC MICRO:BIT Micro:bit v2 Go Club 10-Pack - Batteries and USB Cables Included","https://m.media-amazon.com/images/I/61NcOLdi7vL._AC_UL320_.jpg","5.0","7","235.0","69"
"B09TQ9DX8N","2Pack/60W USB C to C Charging Cable for Samsung S23 S22 Ultra S21 A13, Super Fast Type-C Cord for iPad Pro 12.9/11, iPad Air 10.9, iPhone 15 Pro, Google Pixel 7 Pro 6 Pro 6a USBC Android Braided-6FT","https://m.media-amazon.com/images/I/71+j2MuTU+L._AC_UL320_.jpg","4.6","1538","7.99","69"
"B0B9LJZTP2","Projector Stand, 360° Swivel, Sofa Against Wall Hidden Stand, Height Adjustable, Mini Ceiling Wall Mount Projector Mount Bracket, Compatible with Home Office Video Vlog DVR Camera","https://m.media-amazon.com/images/I/41nPdvpFSfL._AC_UL320_.jpg","4.4","48","63.99","69"
"B079VJXN1Z","InstallGear 12 Gauge Speaker Wire (30ft) - Brown 12 AWG Speaker Wire Speaker Cable 99.9% - Oxygen-Free Copper - True Spec and Soft Touch Cable - OFC Speaker Wire 12 Gauge for Outdoor Speaker Wire","https://m.media-amazon.com/images/I/61qwY7zY4gL._AC_UL320_.jpg","4.8","4369","25.99","69"
"B07PCSHH6M","Pyle 4-Channel Wireless Bluetooth Power Amplifier - 1000W Stereo Speaker Home Audio Receiver w/ FM Radio, USB, Headphone, 2 Microphone w/ Echo, Front Loading CD DVD Player, LED, Rack Mount - PD1000BA","https://m.media-amazon.com/images/I/71YS1jUdUoL._AC_UL320_.jpg","3.9","835","125.0","69"
"B08PVT1JMG","CESS-163-1f Low Noise 12 Gauge Premium RCA Audio Line Patch Cable (1 Foot)","https://m.media-amazon.com/images/I/81dSkehnZoL._AC_UL320_.jpg","4.7","252","14.52","69"
"B0BZQ74536","Real Wood Stand for Homepod 2nd gen (2023 Released), Wooden Holder with Metal Frame for Better Sound,Sturdy Stable Mount with Anti-Slip Protects Apple Home pod 2nd Smart Speaker (Walnut)","https://m.media-amazon.com/images/I/61a2N6ARy0L._AC_UL320_.jpg","4.9","24","29.99","69"
"B0828K335J","VISIONHMD Bigeyes H3 Portable 2.5K Equivalent Screen Movie Cinema -Video Glasses with HDMI Input,Video Goggles,Built in Battery,Not VR HMD,Connected to Various Media Sources Directly","https://m.media-amazon.com/images/I/61hQHopykGL._AC_UL320_.jpg","3.6","99","139.0","69"
"B016FK6SCW","Dell Adaptor USB-C To Ethernet, DBQBCBC064 (PXE Boot)","https://m.media-amazon.com/images/I/51ZyWp7D7SL._AC_UL320_.jpg","4.6","382","24.99","69"
"B09N3K4N7M","Eightwood Marine Boat Radio Antenna 16 Inch Rubber Duck Flexible Mast FM AM Stereo Antennae for Boat Car RV Motorhome ATV UTV Tractor Motorcycle Yacht","https://m.media-amazon.com/images/I/51F5EMRyrKL._AC_UL320_.jpg","4.3","110","13.99","69"
"B08HZCCL3T","Arsvita Audio Tape/Cassette Head Cleaner with 3 Cleaner Solutions","https://m.media-amazon.com/images/I/71YBsS3vJpL._AC_UL320_.jpg","4.4","406","8.99","69"
"B08KXSFC2P","TXEsign Small Floating Shelves Speaker Shelves-2 Pack 4.25 Small Wall Shelves Speaker Mount for Bluetooth Speaker Webcam Mesh WiFi Mesh Router Toy Display Shelf Acrylic Shelves(Black, Small)","https://m.media-amazon.com/images/I/71tGSspRwHL._AC_UL320_.jpg","4.4","744","15.99","69"
"B08DHKZVMQ","Anina Universal 12V Car Power Radio Antenna Fully Automatic Retractable Power Antenna Assembly Design for Am Fm Radio Antenna Mast Replacement Kit","https://m.media-amazon.com/images/I/71FBcVbq0tL._AC_UL320_.jpg","4.0","92","49.99","69"
