"asin","title","imgUrl","stars","reviews","price","category_id"
"B084TW73SJ","KangaToys Water Reveal Coloring Scripture Books for Kids. 2 Pack Book of Mormon and New Testament Bible Stories: Preschool, Elementary, Primary, Christian, Religion, for Kids Ages 3+","https://m.media-amazon.com/images/I/91Gi7-aHYkL._AC_UL320_.jpg","4.8","117","22.99","270"
"B09TR52YDV","MGparty 12pcs 4th of July Headbands and Glasses for Kids Adults 4th of July Party Favors Supplies Patriotic Accessories Decorations","https://m.media-amazon.com/images/I/81Obl5u2M7L._AC_UL320_.jpg","4.7","32","18.99","270"
"B08YPBPWPM","LEGO Super Mario Reznor Knockdown Expansion Set 71390 Building Kit; Collectible Toy Playset for Kids; New 2021 (862 Pieces)","https://m.media-amazon.com/images/I/812GW7VK42L._AC_UL320_.jpg","4.8","730","49.98","270"
"B07GVRBTT7","LEGO City Dock Side Fire 60213 Building Kit (97 Pieces)","https://m.media-amazon.com/images/I/91XT1uuKvqL._AC_UL320_.jpg","4.8","691","25.98","270"
"B0861HGGF6","Wild Republic Rubber Duck, Bee, Gift for Kids, Great Gift for Kids and Adults, 4 inches","https://m.media-amazon.com/images/I/51vOqn6ILzL._AC_UL320_.jpg","4.7","336","8.99","270"
"B0BY91YBQ2","Heyzeibo Magic Kit - Magic Tricks for Kids, Magic Set with Step-by-Step Instructions Manual for Each Trick for Kids Ages 6 7 8 9 10 11 12 to Perform, Magic Toy Gifts for Girls Boys Beginners","https://m.media-amazon.com/images/I/81SD9HoSRxL._AC_UL320_.jpg","4.4","93","17.99","270"
"B08952NT8L","Nerf Elite 2.0 Shockwave RD-15 Blaster, 30 Nerf Darts, 15-Dart Rotating Drum, Pump-Action Slam Fire, Built-in Customising Capabilities","https://m.media-amazon.com/images/I/61vPW766kxL._AC_UL320_.jpg","4.4","3663","28.63","270"
"B097K6P8D8","RC Stunt Car Toy Remote Control Car 2.4Ghz Double Sided 360° Rotating RC Car with Headlights Toy Cars for Kids Christmas Gift Birthday Gift","https://m.media-amazon.com/images/I/71M5g3ciPNL._AC_UL320_.jpg","3.8","96","20.69","270"
"B01HH0NTMQ","Hasbro Gaming Operation Game: Star Wars Edition for 72 months to 1188 months","https://m.media-amazon.com/images/I/91F42snRcsL._AC_UL320_.jpg","4.6","1069","18.9","270"
"B00FPQQHGA","Franklin Sports Croquet Set - Intermediate Croquet Set with Mallets, Balls + Wickets - Family Outdoor + Lawn Game with Stand - Adult + Kids Set - 6 Players","https://m.media-amazon.com/images/I/718rEU2ZkWL._AC_UL320_.jpg","3.8","1423","60.76","270"
"B07WHMBVTG","LEGO Marvel Avengers Speeder Bike Attack 76142 Black Panther and Thor Buildable Superhero Toy, Great Gift for Kids, New 2020 (226 Pieces)","https://m.media-amazon.com/images/I/81nR4LHlyRL._AC_UL320_.jpg","4.8","3502","39.95","270"
"B0774VJCWV","DIBSIES Personalized Butterfly Snuggle Doll - 15 Inch (Brunette - Brown Eyes)","https://m.media-amazon.com/images/I/71LrJt7AALL._AC_UL320_.jpg","4.7","2511","29.95","270"
"B083FMB2BZ","GUND Baby Toddler Doll Plush Blonde, Blue Floral Dress, 8""","https://m.media-amazon.com/images/I/81J+-CLHC2L._AC_UL320_.jpg","4.7","71","19.05","270"
"B075NQ24MH","LEGO Juniors/4+ Mia's Organic Food Market 10749 Building Kit (115 Piece)","https://m.media-amazon.com/images/I/91my98fXhVL._AC_UL320_.jpg","4.9","190","25.39","270"
"B091KS7CWL","MON AMI Mermaid Mimi Doll, Stuffed Soft Toy, Plush Doll, Well Built Stuffed Doll for Child or Toddler | Use as Toy or Room Decor, Great Gift for Kids or Collectors, 18inches","https://m.media-amazon.com/images/I/71xKSogygWL._AC_UL320_.jpg","4.7","14","49.99","270"
"B07GVYMKW6","LEGO DUPLO Town Police Bike 10900 Building Blocks (8 Pieces)","https://m.media-amazon.com/images/I/91oGQmpIIGL._AC_UL320_.jpg","4.8","2529","19.99","270"
"B08Q48LWZR","LEGO 71029 Collectable Minifigures Series 21 - Ancient Warrior","https://m.media-amazon.com/images/I/71dLfw9dKlL._AC_UL320_.jpg","4.8","1144","14.95","270"
"B09MJGPSZ6","Spanish Magnetic Letters Alphabet Magnets - Letras Españolas Y Números Magnéticos para Niños, 4 Colors for Classroom and Home Teaching, 4 Colores para La Enseñanza en Aula y Casa(4 Sets ES1)","https://m.media-amazon.com/images/I/71eEwi1zipL._AC_UL320_.jpg","4.7","131","23.94","270"
"B0BYRPR1Y1","12 PCS School Season Diamond Painting Keychains School Supplies 5D Diamond Key Rings Double Sided Diamond Art Keychain Full Drill Diamonds DIY Ornaments for Beginners Home Decor (School Season)","https://m.media-amazon.com/images/I/818R1OHDeWL._AC_UL320_.jpg","4.2","149","11.99","270"
"B08YP4TKGT","LEGO Disney Mickey and Friends Mickey Mouse & Donald Duck’s Farm 10775 Building Kit; A Creative Play Set for Kids; New 2021 (118 Pieces)","https://m.media-amazon.com/images/I/810SwOXgDRL._AC_UL320_.jpg","4.8","638","29.27","270"
"B09HP6QTMM","LEGO Jurassic World: Dr. Wu Laboratory with Baby Dino and Amber Resin","https://m.media-amazon.com/images/I/61Ad-YCsuIL._AC_UL320_.jpg","4.6","52","11.99","270"
"B00IWXAPU2","Douglas Tucker Chocolate Lab Dog Plush Stuffed Animal","https://m.media-amazon.com/images/I/610f+oGkvvL._AC_UL320_.jpg","4.7","532","17.45","270"
"B0B86QTJGG","Rite Lite Hanukkah Robot Toy Judah Maccabot Jr - Plays Chanukah Music with Bright Lights & Nonstop Dancing! - Hanukkah Gifts Decorations Goodie Bag Rewards Jewish Holiday Party Favors Toys for Kids!","https://m.media-amazon.com/images/I/81b6H3A9lkL._AC_UL320_.jpg","4.7","5","19.99","270"
"B07HF3FHFT","SunFounder Robotics Kit for Arduino , 4-DOF Dancing Sloth Programmable DIY Robot Kit for Teens and Adults with Tutorials","https://m.media-amazon.com/images/I/71FdLexJhrL._AC_UL320_.jpg","4.2","292","59.99","270"
"B088FJRK8P","RTOSY Magnetic Levitation Floating Globe with LED Light, Desk Gadget Decor, Fixture Floating Globes & Shade, Cool Gifts for Men/Father/Husband/Boyfriend/Kids/Boss, Gifts for Desk","https://m.media-amazon.com/images/I/61XsXiMRbWL._AC_UL320_.jpg","4.4","1992","38.99","270"
"B013J9RWBS","Children's Padded Board Books, God Made... Colors, Animals, Seasons, Earth; 4-Book Set","https://m.media-amazon.com/images/I/71z-+AKzxSL._AC_UL320_.jpg","4.1","6","14.99","270"
"B09HSNR6JS","Yoto Ladybird Sleepy Tales – Kids Audio Card for Use Player & Mini All-in-1 Audio Player, Educational Screen-Free Listening with Relaxing Stories for Naptime Bedtime & Winding Down, Ages 3+","https://m.media-amazon.com/images/I/61LQFl-8hgL._AC_UL320_.jpg","4.8","8","12.99","270"
"B077BQC8CM","CaaOcho Pure Natural Rubber Sensory Ball (3"") MEADOW - SEALED HOLE, Promotes Sensory Development, Bright Colors, Perfect Bouncer, BPA Free, PVC Free, Hole Free Sensory Ball for Baby","https://m.media-amazon.com/images/I/71YjiF8YrsL._AC_UL320_.jpg","4.2","53","9.99","270"
"B01D9KHJ7E","hand2mind Fraction and Decimal Dominoes Set, Fraction Manipulatives for Elementary School, Educational Decimal Games, Montessori Math Materials, Math Game Tiles, Classroom Dominoes Set (Set of 30)","https://m.media-amazon.com/images/I/61CUBm6jA2L._AC_UL320_.jpg","4.2","41","13.93","270"
"B00MJ8MI2O","Thames & Kosmos Physics Pro (V 2.0) Science Kit | 96 Page Color Manual | 31 Experiments | Advanced Physics Education Kit | Parents' Choice Silver Award Winner","https://m.media-amazon.com/images/I/81Hk9GQcCVL._AC_UL320_.jpg","4.1","51","91.48","270"
"B01CWHNOI8","Madame Alexander, 14"" Baby Cuddles","https://m.media-amazon.com/images/I/61MOmaI11gL._AC_UL320_.jpg","4.8","438","60.95","270"
"B00NVDNE60","LEGO Star Wars Microfighter ARC-170 Starfighter - 75072.","https://m.media-amazon.com/images/I/71XJsy00ABL._AC_UL320_.jpg","4.6","110","62.79","270"
"B07RGRDJHK","Nickelodeon Paw Patrol Toys Bicycle, Boys and Girls Bike Ages 2 Years and Up, 12 or 16-Inch Wheels, Training Wheels Included, Steel Frame, Perfect for Beginners","https://m.media-amazon.com/images/I/81IvQ-6s2zL._AC_UL320_.jpg","4.5","3796","139.43","270"
"B000H6CGO0","Toysmith Neon Rebound Ball, Assorted Colors (Packaging May Vary)","https://m.media-amazon.com/images/I/61EsE2-ewOL._AC_UL320_.jpg","3.9","108","11.99","270"
"B071ZYDMFD","SCIONE Fidget Spinner Bulk 10 Pack Tri-Spinner Office Desk Classroom ADHD Anti Anxiety Focus Finger Fidget Spinners Stress Relief Toys Gifts for Adults Kids Party Favors Easter Basket Suffers","https://m.media-amazon.com/images/I/815aaO9-LOS._AC_UL320_.jpg","4.6","785","16.99","270"
"B0BDKP5MHX","Leitee 48 Sets 3 Style Scratch Rainbow Bookmarks Making Kit for Kids Scratch Paper Art DIY Bookmarks with Bamboo Stylus, Satin Ribbons for Kids Students Classroom School Party Favor Gifts Bulk","https://m.media-amazon.com/images/I/812Sb6HxlVL._AC_UL320_.jpg","4.7","13","9.99","270"
