"asin","title","imgUrl","stars","reviews","price","category_id"
"B0B75WXZ1F","Peppa Pig Potty Training Stickers Bundle ~ Over 400 Peppa Pig Reward Stickers for Toddlers Plus Barn Bots Door Hanger | Peppa Pig Stickers Party Favors","https://m.media-amazon.com/images/I/81YGuJ9UcgL._AC_UL320_.jpg","4.3","27","7.49","219"
"B09N6FP6M2","Sand Art Kit for Ages 3 to 10 - Everything Kids Need for Fun DIY Crafts - 16 Sand Peel&Sprinkle Pictures, 2 Sand Art Bottles, 8 Jars of Colored Sand, 2 Jars of Glitter, 1Tray, Funnel, Brush & Art Tool","https://m.media-amazon.com/images/I/81+PaWeyPPL._AC_UL320_.jpg","4.7","77","24.99","219"
"B09YNRB2RG","Winlyn 24 Sets Owl Suncatchers Craft Kits Owl Ornaments Decorations Art Sets DIY Owl Window Paint Art Suncatchers Owl Sun Catchers Painting Craft Kits for Kids Classroom Activities Party Favors","https://m.media-amazon.com/images/I/81IqMTYDxoL._AC_UL320_.jpg","4.4","13","16.99","219"
"B001PPKHI4","Crayola 520080 Large Crayons, Tuck Box, 8 Colors/Box","https://m.media-amazon.com/images/I/51aas9nwU+L._AC_UL320_.jpg","4.6","52","5.99","219"
"B019J7GFOO","Jack Richeson Mini Tempera 9 Color Set in Tray","https://m.media-amazon.com/images/I/61dUgI22ncL._AC_UL320_.jpg","4.6","118","10.94","219"
"B09TQZR3L5","Coitak Moving Sand Art Picture, Dynamic Sand Picture, Desktop Moving Sand Art for Home Decor and Office","https://m.media-amazon.com/images/I/71smskslAaL._AC_UL320_.jpg","4.6","200","34.98","219"
"B0BGBRWTYY","Make Your Own Night Light with Music, 7in Unicorn Nightlight Project Gifts for Girls, Christmas Birthday Gifts Toys for 4 5 6 7 8 9 10 Year Old Girls, Unicorn Arts and Crafts for Kids Ages 4-8 8-10","https://m.media-amazon.com/images/I/81B2IG-KyhL._AC_UL320_.jpg","4.5","86","21.97","219"
"B0C1BXTL38","imprsv Marquee Light Up Letters, Mosaic Letters 3FT Marquee Letters for Baby Shower Engagement Graduation Party Decor, Large Marquee Letters for Party Decorations, Letter A (Need to Assemble)","https://m.media-amazon.com/images/I/71+kbBvb9JL._AC_UL320_.jpg","4.0","58","19.75","219"
"B0B9M9MJRD","50Pcs Merchandise Stickers Pack, Cool Role -Playing Game Waterproof Vinyl Stickers Decals for Water Bottle,Skateboard,Laptop,Phone,Bumper Gifts for Adults Teens Boys Kids for Party Supply Favor","https://m.media-amazon.com/images/I/71XsRW-feQL._AC_UL320_.jpg","4.7","59","8.99","219"
"B08512LY4J","Spongebob Squarepants Authentic Licensed 24 Wood Pencils","https://m.media-amazon.com/images/I/91ujCLSt8NL._AC_UL320_.jpg","4.8","34","9.24","219"
"B0BPM79767","100Pcs Anime Stickers Cool Cartoon Stickers for Kids Teens Adults Birthday Favors Vinyl Waterproof Kawaii Decals Pack for Water Bottles Guitar Computer Skateboard Cars Bumper","https://m.media-amazon.com/images/I/81q8JRJwOZL._AC_UL320_.jpg","4.8","6","6.99","219"
"B09MFHCZDK","Funny Light Switch Stickers Amusing Paper Stickers, Joking Prank Stickers, Barry Wood Tease Artifact Stickers Decals Vinyl Stickers Packs 3x4'' (10PCS)","https://m.media-amazon.com/images/I/61ygs2E7HaL._AC_UL320_.jpg","4.7","145","7.69","219"
"B085YVWB64","LEGO DOTS Extra DOTS - Series 1 41908 DIY Craft, A Fun add-on Tile Set for Kids who Like Arts-and-Crafts Play and Decorating Jewelry or Room décor and Prints (109 Pieces)","https://m.media-amazon.com/images/I/81IeW5tPI5L._AC_UL320_.jpg","4.7","1044","7.89","219"
"B09VD8BKJ5","TOPTIME Sand Art Kits for Kids, 24 Bottles Colored Sand 41 Sheets Sand Art Painting Cards, Sand Art Kit Kids' Sand Art Kits Colored Sand Art Kit for Children Art Toy for Boys Girls DIY Arts and Crafts","https://m.media-amazon.com/images/I/81uupJ5zchL._AC_UL320_.jpg","4.3","14","22.99","219"
"B000F8MFY6","Crayola Model Magic 4 oz, Yellow, 57-4434","https://m.media-amazon.com/images/I/71Leebd+5WL._AC_UL320_.jpg","4.6","262","6.23","219"
"B09JL2XDHJ","Colorforms — Disney Frozen Box Set — Pieces Stick Like Magic — Creative Storytelling Fun! — Ages 3+","https://m.media-amazon.com/images/I/61BeR5L4R6L._AC_UL320_.jpg","4.7","20","14.81","219"
"B0BK8Q6RRL","DIY Fairy Night Light,4 in 1 Arts and Crafts for Kids DIY Painting Kits Fairy 3D Puzzle with 30+ Different Patterns of Stickers Art Supplies for Kids 6-8,Creativity Gifts for 7+ Year Old Girls","https://m.media-amazon.com/images/I/81BZoaP8jmL._AC_UL320_.jpg","4.3","66","5.82","219"
"B0B24WFH48","500pcs Glitter Star Stickers for Envelopes Sparkling Star Stickers Decorative Kids Stickers Holiday Decorations Classroom Graduation Reward Supplies","https://m.media-amazon.com/images/I/71imQ0fLSpL._AC_UL320_.jpg","5.0","40","11.59","219"
"B003U6P2T0","School Smart V-Shape Blunt Tip Training Scissors, 5 Inches, Stainless Steel Blade - 084840","https://m.media-amazon.com/images/I/714jgSzgetL._AC_UL320_.jpg","4.5","328","13.49","219"
"B072QFSBRC","Melissa & Doug Washable Poster Paint Set (4 Colors Red, Yellow, Green, Blue)","https://m.media-amazon.com/images/I/81NfWO6tTVL._AC_UL320_.jpg","4.7","725","12.99","219"
"B010HWC6Q6","Boogie Board Jot Pocket Writing Tablet - Includes Small 4.5 in LCD Writing Tablet, Instant Erase, Stylus Pen and Built-in Kickstand, Pink","https://m.media-amazon.com/images/I/616EkzUe5yL._AC_UL320_.jpg","4.5","2540","12.99","219"
"B0BK92QHZS","200 Pcs Birds Stickers Cute Animals Stickers Cartoon Birds Vinyls Decal Waterproof Birds Sticker for Kids Teen Water Bottles Laptop Luggage Phone Skateboard Refrigerators Computer","https://m.media-amazon.com/images/I/91ojCU2v4wL._AC_UL320_.jpg","4.6","21","9.99","219"
